ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
1434;Transformer;64;192;3;4;90;12;1;2;5;0.1
1435;Transformer;64;256;3;4;90;12;1;2;5;0.1
1436;Transformer;16;32;4;4;90;12;1;2;5;0.1
1437;Transformer;16;48;4;4;90;12;1;2;5;0.1
1438;Transformer;16;64;4;4;90;12;1;2;5;0.1
1439;Transformer;32;64;4;4;90;12;1;2;5;0.1
1440;Transformer;32;96;4;4;90;12;1;2;5;0.1
1441;Transformer;32;128;4;4;90;12;1;2;5;0.1
1442;Transformer;64;128;4;4;90;12;1;2;5;0.1
1443;Transformer;64;192;4;4;90;12;1;2;5;0.1
1444;Transformer;64;256;4;4;90;12;1;2;5;0.1
1445;Transformer;16;32;2;8;90;12;1;2;5;0.1
1446;Transformer;16;48;2;8;90;12;1;2;5;0.1
1447;Transformer;16;64;2;8;90;12;1;2;5;0.1
1448;Transformer;32;64;2;8;90;12;1;2;5;0.1
1449;Transformer;32;96;2;8;90;12;1;2;5;0.1
1450;Transformer;32;128;2;8;90;12;1;2;5;0.1
1451;Transformer;64;128;2;8;90;12;1;2;5;0.1
1452;Transformer;64;192;2;8;90;12;1;2;5;0.1
1453;Transformer;64;256;2;8;90;12;1;2;5;0.1
1454;Transformer;16;32;3;8;90;12;1;2;5;0.1
1455;Transformer;16;48;3;8;90;12;1;2;5;0.1
1456;Transformer;16;64;3;8;90;12;1;2;5;0.1
1457;Transformer;32;64;3;8;90;12;1;2;5;0.1
1458;Transformer;32;96;3;8;90;12;1;2;5;0.1
1459;Transformer;32;128;3;8;90;12;1;2;5;0.1
1460;Transformer;64;128;3;8;90;12;1;2;5;0.1
1461;Transformer;64;192;3;8;90;12;1;2;5;0.1
1462;Transformer;64;256;3;8;90;12;1;2;5;0.1
1463;Transformer;16;32;4;8;90;12;1;2;5;0.1
1464;Transformer;16;48;4;8;90;12;1;2;5;0.1
