time,model_LSTM_lon_32.pt,model_LSTM_lon_33.pt,model_LSTM_lon_34.pt,model_LSTM_lon_35.pt,model_LSTM_lon_36.pt,veh_u,veh_v
19.03,9.09154224395752,9.371344566345215,9.509798049926758,9.193717956542969,9.113314628601074,9.26325,0.29138
19.04,9.123350143432617,9.38875961303711,9.452223777770996,9.174617767333984,9.172119140625,9.26123,0.30105
19.05,9.123350143432617,9.38875961303711,9.452223777770996,9.174617767333984,9.172119140625,9.2593,0.31036
19.06,9.123350143432617,9.38875961303711,9.452223777770996,9.174617767333984,9.172119140625,9.25744,0.3193
19.07,9.123350143432617,9.38875961303711,9.452223777770996,9.174617767333984,9.172119140625,9.25568,0.32787
19.08,9.123350143432617,9.38875961303711,9.452223777770996,9.174617767333984,9.172119140625,9.25434,0.33444
19.09,9.170440673828125,9.396077156066895,9.397826194763184,9.152575492858887,9.225265502929688,9.25245,0.34385
19.1,9.170440673828125,9.396077156066895,9.397826194763184,9.152575492858887,9.225265502929688,9.251,0.35126
19.11,9.170440673828125,9.396077156066895,9.397826194763184,9.152575492858887,9.225265502929688,9.24965,0.35827
19.12,9.170440673828125,9.396077156066895,9.397826194763184,9.152575492858887,9.225265502929688,9.24842,0.36489
19.13,9.170440673828125,9.396077156066895,9.397826194763184,9.152575492858887,9.225265502929688,9.24732,0.3711
19.14,9.193942070007324,9.39686107635498,9.364058494567871,9.134771347045898,9.268789291381836,9.24635,0.37691
19.15,9.193942070007324,9.39686107635498,9.364058494567871,9.134771347045898,9.268789291381836,9.24567,0.38127
19.16,9.193942070007324,9.39686107635498,9.364058494567871,9.134771347045898,9.268789291381836,9.24483,0.38732
19.17,9.193942070007324,9.39686107635498,9.364058494567871,9.134771347045898,9.268789291381836,9.2443,0.39191
19.18,9.193942070007324,9.39686107635498,9.364058494567871,9.134771347045898,9.268789291381836,9.24393,0.39609
19.19,9.205329895019531,9.394305229187012,9.34333324432373,9.12276554107666,9.275918960571289,9.24372,0.39986
19.2,9.205329895019531,9.394305229187012,9.34333324432373,9.12276554107666,9.275918960571289,9.24368,0.40322
19.21,9.205329895019531,9.394305229187012,9.34333324432373,9.12276554107666,9.275918960571289,9.24381,0.40617
19.22,9.205329895019531,9.394305229187012,9.34333324432373,9.12276554107666,9.275918960571289,9.24412,0.4087
19.23,9.205329895019531,9.394305229187012,9.34333324432373,9.12276554107666,9.275918960571289,9.24461,0.41083
19.24,9.23204517364502,9.395539283752441,9.319703102111816,9.109047889709473,9.25722885131836,9.24514,0.41223
19.25,9.23204517364502,9.395539283752441,9.319703102111816,9.109047889709473,9.25722885131836,9.24614,0.41385
19.26,9.23204517364502,9.395539283752441,9.319703102111816,9.109047889709473,9.25722885131836,9.24717,0.41475
19.27,9.23204517364502,9.395539283752441,9.319703102111816,9.109047889709473,9.25722885131836,9.24837,0.41525
19.28,9.23204517364502,9.395539283752441,9.319703102111816,9.109047889709473,9.25722885131836,9.24974,0.41534
19.29,9.260367393493652,9.412674903869629,9.293076515197754,9.103111267089844,9.243091583251953,9.25128,0.41503
19.3,9.260367393493652,9.412674903869629,9.293076515197754,9.103111267089844,9.243091583251953,9.25297,0.41433
19.31,9.260367393493652,9.412674903869629,9.293076515197754,9.103111267089844,9.243091583251953,9.2548,0.41323
19.32,9.260367393493652,9.412674903869629,9.293076515197754,9.103111267089844,9.243091583251953,9.25677,0.41175
19.33,9.260367393493652,9.412674903869629,9.293076515197754,9.103111267089844,9.243091583251953,9.25844,0.41029
19.34,9.294540405273438,9.435805320739746,9.258892059326172,9.109570503234863,9.243330001831055,9.26106,0.40765
19.35,9.294540405273438,9.435805320739746,9.258892059326172,9.109570503234863,9.243330001831055,9.26335,0.40503
19.36,9.294540405273438,9.435805320739746,9.258892059326172,9.109570503234863,9.243330001831055,9.26571,0.40205
19.37,9.294540405273438,9.435805320739746,9.258892059326172,9.109570503234863,9.243330001831055,9.26813,0.39872
19.38,9.294540405273438,9.435805320739746,9.258892059326172,9.109570503234863,9.243330001831055,9.27059,0.39503
19.39,9.3250150680542,9.444214820861816,9.22616958618164,9.121403694152832,9.245351791381836,9.27306,0.39099
19.4,9.3250150680542,9.444214820861816,9.22616958618164,9.121403694152832,9.245351791381836,9.27504,0.38752
19.41,9.3250150680542,9.444214820861816,9.22616958618164,9.121403694152832,9.245351791381836,9.27799,0.38191
19.42,9.3250150680542,9.444214820861816,9.22616958618164,9.121403694152832,9.245351791381836,9.2804,0.37688
19.43,9.3250150680542,9.444214820861816,9.22616958618164,9.121403694152832,9.245351791381836,9.28275,0.37153
19.44,9.347152709960938,9.430582046508789,9.194143295288086,9.133183479309082,9.244634628295898,9.28502,0.36587
19.45,9.347152709960938,9.430582046508789,9.194143295288086,9.133183479309082,9.244634628295898,9.28719,0.3599
19.46,9.347152709960938,9.430582046508789,9.194143295288086,9.133183479309082,9.244634628295898,9.28925,0.35363
19.47,9.347152709960938,9.430582046508789,9.194143295288086,9.133183479309082,9.244634628295898,9.29117,0.34707
19.48,9.347152709960938,9.430582046508789,9.194143295288086,9.133183479309082,9.244634628295898,9.29294,0.34021
19.49,9.35677719116211,9.389762878417969,9.16483211517334,9.139796257019043,9.235440254211426,9.29423,0.33452
19.5,9.35677719116211,9.389762878417969,9.16483211517334,9.139796257019043,9.235440254211426,9.29597,0.32563
19.51,9.35677719116211,9.389762878417969,9.16483211517334,9.139796257019043,9.235440254211426,9.2972,0.31791
19.52,9.35677719116211,9.389762878417969,9.16483211517334,9.139796257019043,9.235440254211426,9.29824,0.3099
19.53,9.35677719116211,9.389762878417969,9.16483211517334,9.139796257019043,9.235440254211426,9.29906,0.30161
19.54,9.346683502197266,9.302203178405762,9.135231971740723,9.125969886779785,9.207748413085938,9.29967,0.29303
19.55,9.346683502197266,9.302203178405762,9.135231971740723,9.125969886779785,9.207748413085938,9.30005,0.28416
19.56,9.346683502197266,9.302203178405762,9.135231971740723,9.125969886779785,9.207748413085938,9.3002,0.275
19.57,9.346683502197266,9.302203178405762,9.135231971740723,9.125969886779785,9.207748413085938,9.30012,0.26554
19.58,9.346683502197266,9.302203178405762,9.135231971740723,9.125969886779785,9.207748413085938,9.29989,0.25776
19.59,9.319007873535156,9.184804916381836,9.129716873168945,9.09096908569336,9.159802436828613,9.29926,0.24571
19.6,9.319007873535156,9.184804916381836,9.129716873168945,9.09096908569336,9.159802436828613,9.29848,0.23533
19.61,9.319007873535156,9.184804916381836,9.129716873168945,9.09096908569336,9.159802436828613,9.29747,0.22464
19.62,9.319007873535156,9.184804916381836,9.129716873168945,9.09096908569336,9.159802436828613,9.29623,0.21361
19.63,9.319007873535156,9.184804916381836,9.129716873168945,9.09096908569336,9.159802436828613,9.29476,0.20226
19.64,9.289020538330078,9.070206642150879,9.20166301727295,9.075063705444336,9.101950645446777,9.29307,0.19057
19.65,9.289020538330078,9.070206642150879,9.20166301727295,9.075063705444336,9.101950645446777,9.29156,0.18097
19.66,9.289020538330078,9.070206642150879,9.20166301727295,9.075063705444336,9.101950645446777,9.28905,0.16617
19.67,9.289020538330078,9.070206642150879,9.20166301727295,9.075063705444336,9.101950645446777,9.28673,0.15345
19.68,9.289020538330078,9.070206642150879,9.20166301727295,9.075063705444336,9.101950645446777,9.2842,0.14038
19.69,9.250186920166016,8.986360549926758,9.32481575012207,9.07891845703125,9.035390853881836,9.28148,0.12696
19.7,9.250186920166016,8.986360549926758,9.32481575012207,9.07891845703125,9.035390853881836,9.27857,0.1132
19.71,9.250186920166016,8.986360549926758,9.32481575012207,9.07891845703125,9.035390853881836,9.27548,0.09909
19.72,9.250186920166016,8.986360549926758,9.32481575012207,9.07891845703125,9.035390853881836,9.27221,0.08465
19.73,9.250186920166016,8.986360549926758,9.32481575012207,9.07891845703125,9.035390853881836,9.26876,0.06988
19.74,9.1932954788208,8.962067604064941,9.422760963439941,9.101673126220703,8.962356567382812,9.26587,0.05785
19.75,9.1932954788208,8.962067604064941,9.422760963439941,9.101673126220703,8.962356567382812,9.26134,0.03943
