time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
1.07 sec,0,0,-0.001684,-0.493057109695697,-0.00168399999884914,0
1.08 sec,0,0,-0.00170926,-0.489232812308943,-0.00170926000035217,0
1.09 sec,0,0,-0.00170926,-0.493057109695697,-0.0017092599988415,0
1.1 sec,0,0,0,-0.489232812308943,-5.19264319043256e-13,0
1.11 sec,0,0,0,-0.493057109695697,7.28356611134906e-13,0
1.12 sec,0,0,0,-0.489232812308943,-7.78464966100234e-13,0
1.13 sec,0,0,0,-0.493057109695697,7.28406050753971e-13,0
1.14 sec,0,1.17683640610267e-17,0,-0.489232812308943,-7.78471904994138e-13,0
1.15 sec,0,0.000530000000000015,0,-0.493057109695697,7.28419061180041e-13,0
1.16 sec,0,0.00121,0,-0.489232812308943,-7.78473639717614e-13,0
1.17 sec,0,0.00178,0,-0.493057109695697,7.28422530626993e-13,0
1.18 sec,0,0.00234,0,-0.489232812308943,-7.78474507079352e-13,0
1.19 sec,0,0.00288,0,-0.493057109695697,7.28423397988731e-13,0
1.2 sec,0,0.0034,0,-0.489232812308943,-7.78474507079352e-13,0
1.21 sec,0,0.00389,0,-0.493057109695697,7.28423397988731e-13,0
1.22 sec,0,0.00435,0,-0.489232728827139,-7.76138701918949e-13,0
1.23 sec,0,0.00477,0,-0.493051419407199,7.17910973724312e-13,0
1.24 sec,0,0.00514,0,-0.489256039230553,-7.4109642034248e-13,0
1.25 sec,0,0.00546,0,-0.492966910492903,6.48984338491587e-13,0
1.26 sec,0,0.00573,0,-0.489418821739284,-6.5816276040298e-13,0
1.27 sec,0,0.00595,-0.00170084,-0.492758722659347,-0.0017008399992522,0
1.28 sec,0,0.00611,-0.00170926,-0.48960059477712,-0.00170926000018841,0
1.29 sec,0,0.00621,0,-0.492646204687305,8.34539035099446e-13,0
1.3 sec,0,0.00626,-0.00170084,-0.489617758062062,-0.00170084000047289,0
1.31 sec,0,0.00624,0,-0.492703899827229,8.71856406514659e-13,0
1.32 sec,0,0.00618,-0.00170926,-0.489525192935065,-0.0017092600005071,0
1.33 sec,0,0.00606,-0.00170926,-0.492794018053813,-0.0017092599989384,0
1.34 sec,0,0.00589,0,-0.489476352126583,-4.18816023528557e-13,0
1.35 sec,0,0.00568,-0.00170926,-0.492799120409028,-0.0017092599992035,0
1.36 sec,0,0.00542,0,-0.489489109980121,-4.16459401686442e-13,0
1.37 sec,0,0.00513,0,-0.492792419122287,6.25547356969403e-13,0
1.38 sec,0,0.00486999999999999,0,-0.489489772929936,-6.75669589722538e-13,0
1.39 sec,0,0.00451999999999999,0,-0.492792349200419,6.25593327141516e-13,0
1.4 sec,0,0.00414999999999999,0,-0.489489779067933,-6.75678263339918e-13,0
1.41 sec,0,0.00369,0,-0.492792348859567,6.25605470205848e-13,0
1.42 sec,0,0.00329,0,-0.489489779014583,-6.75679998063394e-13,0
1.43 sec,0,0.00288,0,-0.492792348899434,6.256089396528e-13,0
1.44 sec,0,0.00248,0,-0.489489779001782,-6.75680865425132e-13,0
1.45 sec,0,0.00209,0,-0.492792348904268,6.25609807014538e-13,0
1.46 sec,0,0.00171,0,-0.489489779000411,-6.75680865425132e-13,0
1.47 sec,0,0.00135,0,-0.492792348904763,6.25609807014538e-13,0
1.48 sec,0,0.00101,0,-0.489489779000272,-6.75680865425132e-13,0
1.49 sec,0,0.00069,0,-0.492792348904813,6.25609807014538e-13,0
1.5 sec,0,0.00041,0,-0.489489779000258,-6.75680865425132e-13,0
1.51 sec,0,0.00015,0,-0.492792348904818,6.25609807014538e-13,0
1.52 sec,0,0,0,-0.489489743122039,-6.74512529164062e-13,0
1.53 sec,0,0,-0.00170084,-0.492789665767145,-0.00170083999920547,0
1.54 sec,0,0,0,-0.489492671343131,-4.16575628159332e-13,0
1.55 sec,0,0,0,-0.49278934643881,6.24390296410926e-13,0
1.56 sec,0,0,0,-0.489492702232522,-6.74502988184944e-13,0
1.57 sec,0,0,0,-0.4927893434583,6.24428460327398e-13,0
1.58 sec,0,0,0,-0.489492702418861,-6.74509927078848e-13,0
1.59 sec,0,0,-0.00167558,-0.49278934348132,-0.001675579999208,0
1.6 sec,0,0,-0.00167558,-0.489492702405243,-0.00167558000025285,0
1.61 sec,0,0,0,-0.492789343487214,8.78495193257223e-13,0
